ts_code,name,strategy,close,pct_chg,vol_ratio,patterns,position_ratio,reason
002232.SZ,启明信息,★低位强攻,20.27,5.683,2.06,倍量+高量,0.24,"底部放量,涨幅5.7%"
002068.SZ,黑猫股份,★低位强攻,9.72,5.6522,1.8,倍量+高量,0.25,"底部放量,涨幅5.7%"
600997.SH,开滦股份,★低位强攻,6.18,5.4608,1.79,倍量+高量,0.28,"底部放量,涨幅5.5%"
600123.SH,兰花科创,★低位强攻,6.2,4.9069,1.64,梯量+高量,0.28,"底部放量,涨幅4.9%"
603072.SH,天和磁材,★低位强攻,45.99,4.8803,1.94,倍量+高量,0.33,"底部放量,涨幅4.9%"
000995.SZ,皇台酒业,★低位强攻,13.16,4.8606,2.2,倍量+高量,0.31,"底部放量,涨幅4.9%"
601618.SH,中国中冶,★低位强攻,3.3,4.7619,2.14,倍量+高量,0.29,"底部放量,涨幅4.8%"
000552.SZ,甘肃能化,★低位强攻,2.49,4.6218,1.57,倍量+高量,0.4,"底部放量,涨幅4.6%"
600508.SH,上海能源,★低位强攻,12.74,4.4262,1.88,倍量+高量,0.32,"底部放量,涨幅4.4%"
600429.SH,三元股份,★低位强攻,5.45,4.2065,1.7,倍量+高量,0.34,"底部放量,涨幅4.2%"
600971.SH,恒源煤电,★低位强攻,6.72,4.0248,1.62,高量,0.36,"底部放量,涨幅4.0%"
002715.SZ,登云股份,★低位强攻,17.68,3.8168,1.94,倍量+梯量+高量,0.17,"底部放量,涨幅3.8%"
000723.SZ,美锦能源,★低位强攻,5.02,3.719,1.54,梯量+高量,0.38,"底部放量,涨幅3.7%"
000937.SZ,冀中能源,★低位强攻,5.64,3.4862,1.56,高量,0.36,"底部放量,涨幅3.5%"
600395.SH,盘江股份,★低位强攻,4.91,3.3684,1.61,高量,0.3,"底部放量,涨幅3.4%"
002575.SZ,群兴玩具,★低位强攻,7.11,3.193,1.9,梯量+高量,0.31,"底部放量,涨幅3.2%"
002982.SZ,湘佳股份,★低位强攻,14.32,2.5054,1.83,梯量+高量,0.25,"底部放量,涨幅2.5%"
600649.SH,城投控股,☆缩量洗盘,5.1,3.2389,0.67,缩量,0.62,"上升趋势中缩量回调,支撑有效"
600641.SH,先导基电,☆缩量洗盘,19.65,3.0955,0.85,缩量,0.56,"上升趋势中缩量回调,支撑有效"
600691.SH,潞化科技,☆缩量洗盘,3.25,2.8481,0.93,,0.65,"上升趋势中缩量回调,支撑有效"
600281.SH,华阳新材,☆缩量洗盘,6.54,2.8302,1.02,连续缩量,0.48,"上升趋势中缩量回调,支撑有效"
600010.SH,包钢股份,☆缩量洗盘,2.6,2.3622,1.04,,0.43,"上升趋势中缩量回调,支撑有效"
601163.SH,三角轮胎,☆缩量洗盘,15.72,2.0779,1.01,,0.62,"上升趋势中缩量回调,支撑有效"
600610.SH,中毅达,☆缩量洗盘,11.76,1.9948,0.84,缩量,0.46,"上升趋势中缩量回调,支撑有效"
600848.SH,上海临港,☆缩量洗盘,11.95,1.9625,0.99,连续缩量+平量,0.57,"上升趋势中缩量回调,支撑有效"
600370.SH,三房巷,☆缩量洗盘,2.7,1.8868,0.81,缩量,0.64,"上升趋势中缩量回调,支撑有效"
000501.SZ,武商集团,☆缩量洗盘,10.52,1.8393,0.79,缩量,0.37,"上升趋势中缩量回调,支撑有效"
002707.SZ,众信旅游,☆缩量洗盘,7.9,1.8041,0.79,连续缩量+地量+缩量,0.5,"上升趋势中缩量回调,支撑有效"
000932.SZ,华菱钢铁,☆缩量洗盘,6.25,1.7915,0.92,连续缩量+平量,0.61,"上升趋势中缩量回调,支撑有效"
002187.SZ,广百股份,☆缩量洗盘,8.2,1.737,0.71,连续缩量+地量+缩量,0.55,"上升趋势中缩量回调,支撑有效"
000560.SZ,我爱我家,☆缩量洗盘,3.03,1.6779,0.9,平量+缩量,0.4,"上升趋势中缩量回调,支撑有效"
605006.SH,山东玻纤,☆缩量洗盘,7.96,1.6603,0.89,缩量,0.52,"上升趋势中缩量回调,支撑有效"
003038.SZ,鑫铂股份,☆缩量洗盘,17.98,1.5819,1.03,平量,0.48,"上升趋势中缩量回调,支撑有效"
