ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
688479.SH,20240523,17.31,17.34,16.96,16.96,17.37,-0.41,-2.3604,6527.1,11202.618,1.0
002534.SZ,20240523,11.35,11.48,11.13,11.18,11.32,-0.14,-1.2367,59927.86,67501.645,2.3112
300240.SZ,20240523,5.44,5.95,5.38,5.6,5.47,0.13,2.3766,103351.27,58321.769,3.622
605389.SH,20240523,23.21,23.25,22.65,22.71,23.13,-0.42,-1.8158,10525.2,24019.097,1.45
603028.SH,20240523,6.98,7.02,6.69,6.72,7.03,-0.31,-4.4097,51971.67,35395.883,1.329
301503.SZ,20240523,30.62,32.11,30.46,30.46,31.02,-0.56,-1.8053,39331.31,123099.786,1.0
600618.SH,20240523,9.75,9.79,9.48,9.55,9.86,-0.31,-3.144,86564.41,82939.179,27.211
002538.SZ,20240523,5.21,5.23,5.07,5.08,5.26,-0.18,-3.4221,134729.0,68984.166,4.962
301038.SZ,20240523,15.8,16.1,15.37,15.54,16.02,-0.48,-2.9963,47942.5,75037.515,1.316
603667.SH,20240523,17.4,17.74,17.2,17.52,17.54,-0.02,-0.114,173915.4,303993.121,1.433
300164.SZ,20240523,4.28,4.28,4.14,4.16,4.31,-0.15,-3.4803,402501.86,168576.475,6.251
000510.SZ,20240523,3.68,3.69,3.54,3.56,3.68,-0.12,-3.2609,90061.0,32213.579,10.422
920571.BJ,20240523,4.31,4.6,4.2,4.42,4.35,0.07,1.6092,261501.12,115504.384,1.0286
301035.SZ,20240523,53.74,53.74,51.86,52.29,53.84,-1.55,-2.8789,8643.25,45390.745,1.048
688332.SH,20240523,55.8,55.8,54.57,54.74,55.6,-0.86,-1.5468,5824.32,32086.944,1.0328
920699.BJ,20240523,17.9,20.0,17.53,18.55,17.68,0.87,4.9208,36920.85,69261.761,1.0
301369.SZ,20240523,42.3,42.65,41.23,41.29,42.24,-0.95,-2.2491,11726.93,49208.124,1.529
688485.SH,20240523,8.99,9.05,8.75,8.78,8.99,-0.21,-2.3359,6628.51,5866.387,1.009
600962.SH,20240523,11.05,11.61,11.0,11.12,11.12,0.0,0.0,105252.6,118403.846,1.893
002823.SZ,20240523,11.54,11.59,11.31,11.44,11.58,-0.14,-1.209,73876.1,84495.037,2.1309
603353.SH,20240523,15.25,15.28,14.87,14.97,15.35,-0.38,-2.4756,29594.1,44452.906,1.373
002774.SZ,20240523,7.06,7.09,6.96,6.96,7.09,-0.13,-1.8336,33923.0,23803.725,1.2173
300463.SZ,20240523,13.49,13.59,13.08,13.13,13.57,-0.44,-3.2424,53795.0,71403.972,3.238
688213.SH,20240523,45.39,45.74,44.8,45.13,45.31,-0.18,-0.3973,21294.65,96206.883,1.0
601137.SH,20240523,17.52,18.63,17.11,18.15,17.54,0.61,3.4778,486692.65,873850.338,2.287
603228.SH,20240523,26.28,26.49,25.61,25.76,26.1,-0.34,-1.3027,77450.57,200247.568,2.142
300121.SZ,20240523,8.6,8.6,8.4,8.41,8.62,-0.21,-2.4362,43264.0,36700.546,6.6181
688033.SH,20240523,7.76,7.79,7.52,7.54,7.8,-0.26,-3.3333,131573.5,100078.996,1.012
688502.SH,20240523,98.97,105.46,98.02,103.6,99.89,3.71,3.7141,13244.19,136847.102,1.0107
688651.SH,20240523,31.99,31.99,31.34,31.47,31.65,-0.18,-0.5687,7187.73,22711.598,1.0
002799.SZ,20240523,7.16,7.17,6.95,6.96,7.16,-0.2,-2.7933,40126.4,28157.391,2.568
300355.SZ,20240523,2.82,2.83,2.74,2.75,2.83,-0.08,-2.8269,231012.14,64090.215,10.184
002594.SZ,20240523,215.85,215.85,213.51,214.95,216.92,-1.97,-0.9082,62287.23,1336506.237,1.025
920346.BJ,20240523,11.33,13.02,11.29,12.25,11.27,0.98,8.6957,58116.41,70714.039,1.157
002906.SZ,20240523,27.96,27.96,26.88,27.0,27.96,-0.96,-3.4335,53283.16,144887.001,1.043
920553.BJ,20240523,3.68,3.98,3.63,3.85,3.68,0.17,4.6196,24715.53,9525.571,1.1566
000528.SZ,20240523,10.37,10.51,10.17,10.26,10.41,-0.15,-1.4409,295755.92,305489.696,12.596
601069.SH,20240523,13.0,13.27,12.93,13.07,13.65,-0.58,-4.2491,196551.0,257505.834,1.017
002668.SZ,20240523,10.5,10.67,10.24,10.56,10.62,-0.06,-0.565,547801.83,572809.824,4.94
600900.SH,20240523,26.05,26.34,25.96,26.15,25.98,0.17,0.6543,773125.97,2023279.728,3.548
002638.SZ,20240523,1.97,1.97,1.78,1.83,1.97,-0.14,-7.1066,399917.0,73736.92,5.047
300445.SZ,20240523,17.23,17.28,16.8,16.83,17.29,-0.46,-2.6605,26066.2,44248.675,5.0269
600655.SH,20240523,6.07,6.09,5.9,5.91,6.09,-0.18,-2.9557,169465.6,101084.639,234.079
688558.SH,20240523,19.91,19.91,19.35,19.48,19.93,-0.45,-2.2579,6286.52,12306.705,1.04
688179.SH,20240523,11.4,11.46,10.99,11.04,11.47,-0.43,-3.7489,28028.41,31365.463,2.8487
920145.BJ,20240523,4.88,5.12,4.7,4.98,4.88,0.1,2.0492,7673.62,3820.869,8.2079
688665.SH,20240523,47.1,47.5,45.12,45.77,47.6,-1.83,-3.8445,8627.47,39615.759,1.025
300322.SZ,20240523,9.23,9.27,8.93,8.98,9.23,-0.25,-2.7086,207450.0,187756.431,4.433
301190.SZ,20240523,17.76,17.77,17.2,17.31,17.85,-0.54,-3.0252,7481.0,13060.694,1.014
920284.BJ,20240523,6.68,7.13,6.56,6.95,6.71,0.24,3.5768,21998.78,15197.109,3.5354
300548.SZ,20240523,22.49,22.79,21.9,21.93,22.53,-0.6,-2.6631,91440.06,202801.802,2.792
603135.SH,20240523,14.24,14.24,13.89,13.94,14.25,-0.31,-2.1754,19736.0,27630.9,1.011
600801.SH,20240523,15.78,15.86,15.48,15.67,15.87,-0.2,-1.2602,96354.67,151048.038,11.254
301131.SZ,20240523,39.3,43.28,39.0,41.44,39.48,1.96,4.9645,69471.89,290055.846,1.017
300407.SZ,20240523,8.26,8.26,7.93,7.96,8.32,-0.36,-4.3269,110963.55,89427.102,4.131
002830.SZ,20240523,12.0,12.1,11.57,11.67,12.03,-0.36,-2.9925,25124.0,29484.844,2.139
920146.BJ,20240523,3.72,4.06,3.63,3.85,3.7,0.15,4.0541,60628.29,23450.3,1.6157
603909.SH,20240523,10.44,10.46,10.21,10.25,10.42,-0.17,-1.6315,13555.83,13943.822,2.6247
688121.SH,20240523,15.36,15.54,14.95,15.03,15.44,-0.41,-2.6554,25753.82,39110.852,1.009
688203.SH,20240523,10.08,10.08,9.68,9.77,10.08,-0.31,-3.0754,14488.2,14264.831,1.0128
920970.BJ,20240523,6.95,7.18,6.89,6.95,7.02,-0.07,-0.9972,11314.56,7960.912,2.1729
603282.SH,20240523,20.75,20.88,19.96,20.07,20.72,-0.65,-3.1371,8242.81,16667.763,1.011
601231.SH,20240523,15.34,15.43,15.13,15.26,15.38,-0.12,-0.7802,121565.27,185780.271,2.351
600743.SH,20240523,1.49,1.51,1.44,1.48,1.51,-0.03,-1.9868,432414.9,63889.625,13.201
688361.SH,20240523,51.27,52.58,50.8,50.95,51.27,-0.32,-0.6241,35658.81,184435.254,1.0
688418.SH,20240523,19.1,19.46,18.72,18.81,19.38,-0.57,-2.9412,81316.06,154816.261,1.004
