ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,pe_ttm,pb,total_mv,circ_mv,adj_factor
000001.SZ,20241220,11.59,11.7,11.58,11.62,11.59,0.03,0.2588,714646.27,831437.46,0.3683,0.8757,4.8443,0.5424,22549676.9461,22549327.5675,127.7841
000002.SZ,20241220,7.88,7.93,7.8,7.82,7.91,-0.09,-1.1378,1164400.3,912493.458,1.1983,1.7985,0.0,0.3985,9329814.8063,7598643.8464,181.704
000004.SZ,20241220,19.62,20.59,19.28,20.06,20.63,-0.57,-2.763,319186.05,638201.85,25.2744,34.1763,0.0,16.6234,265554.8457,253333.9146,4.064
000006.SZ,20241220,8.95,9.07,8.84,8.92,8.95,-0.03,-0.3352,304132.05,271494.825,2.2529,3.5755,0.0,1.8674,1204195.581,1204188.7572,39.74
000007.SZ,20241220,7.0,7.08,6.91,7.01,6.94,0.07,1.0086,45778.0,32066.097,1.3214,2.1517,85.8216,18.8357,242860.0788,242860.0788,8.284
000008.SZ,20241220,2.98,3.1,2.97,3.01,2.99,0.02,0.6689,989737.0,298546.223,3.6848,6.0959,0.0,2.4215,817629.6826,808493.3342,22.408
000009.SZ,20241220,9.51,9.55,9.42,9.5,9.52,-0.02,-0.2101,132266.18,125791.767,0.5184,0.8643,52.8849,2.4146,2450253.2668,2423858.8078,8.977
000010.SZ,20241220,3.01,3.09,2.98,3.03,3.07,-0.04,-1.3029,487514.21,147732.116,9.2692,10.2904,0.0,15.925,348344.6445,159363.2624,10.775
000011.SZ,20241220,9.38,9.52,9.29,9.34,9.43,-0.09,-0.9544,62003.99,58206.37,1.1777,3.3153,23.5623,1.2428,556644.4719,491728.1572,4.411
000012.SZ,20241220,5.41,5.42,5.37,5.37,5.41,-0.04,-0.7394,127785.89,68906.931,0.6522,1.0919,16.9056,1.1719,1648961.6615,1052133.1694,29.9276
000014.SZ,20241220,12.3,12.52,12.16,12.3,12.39,-0.09,-0.7264,81117.99,100131.2,3.3513,5.0791,40.4857,1.8,297716.8555,297716.8555,6.776
000016.SZ,20241220,5.5,5.8,5.33,5.59,5.47,0.12,2.1938,2655288.35,1482606.979,16.631,24.7499,0.0,3.3297,1346041.4831,892495.9342,22.375
000017.SZ,20241220,6.88,7.17,6.86,7.03,6.88,0.15,2.1802,143982.0,101350.118,4.7521,6.0124,239.02,15.3233,484497.0079,212998.4304,2.683
000019.SZ,20241220,6.8,6.88,6.72,6.75,6.8,-0.05,-0.7353,63141.76,42787.016,1.517,2.3324,24.4515,1.6077,777961.2965,280946.0747,4.755
000020.SZ,20241220,14.12,14.49,14.04,14.37,14.12,0.25,1.7705,22888.0,32842.92,1.2634,3.699,268.7429,10.6753,406902.6832,260334.6669,1.752
000021.SZ,20241220,19.9,20.55,19.7,20.23,20.0,0.23,1.15,779340.05,1575558.383,4.9944,8.3398,36.7332,2.7301,3157068.6905,3156737.1714,14.5798
000025.SZ,20241220,17.86,17.96,17.6,17.67,17.87,-0.2,-1.1192,47712.6,84802.065,1.2147,2.9958,49.9022,4.4841,761680.0514,694039.2914,2.753
000026.SZ,20241220,10.93,11.16,10.93,11.03,10.96,0.07,0.6387,41307.0,45642.866,1.1389,2.2877,16.8735,1.3281,447557.6997,400066.2104,8.734
000027.SZ,20241220,6.55,6.58,6.49,6.5,6.55,-0.05,-0.7634,146277.38,95261.55,0.3075,1.2309,27.0287,1.0264,3092303.4454,3092303.4454,18.033
000028.SZ,20241220,29.9,30.03,29.78,29.92,29.9,0.02,0.0669,18871.72,56411.022,0.3948,1.1349,11.2888,0.9199,1665242.7104,1430336.7093,5.602
000029.SZ,20241220,15.67,15.95,15.54,15.83,15.67,0.16,1.0211,33558.0,53036.082,0.3764,1.2759,0.0,4.3269,1601457.78,1411497.78,2.291
000030.SZ,20241220,5.37,5.38,5.29,5.31,5.37,-0.06,-1.1173,101052.0,53824.879,0.5972,2.0857,13.8885,1.2,924812.4781,898563.2238,4.128
000031.SZ,20241220,3.41,3.46,3.34,3.38,3.36,0.02,0.5952,441125.42,149502.732,1.102,4.2687,0.0,1.1021,1448773.9086,1352975.8631,14.651
000032.SZ,20241220,18.32,18.92,18.23,18.76,18.49,0.27,1.4602,199175.92,372266.404,3.0891,4.9335,45.1502,3.5243,2134811.523,1209576.9094,4.23
000034.SZ,20241220,35.16,35.98,35.03,35.57,35.56,0.01,0.0281,265799.83,944946.539,4.8087,5.7994,19.6082,2.5722,2381719.2018,1966123.3519,3.217
000035.SZ,20241220,5.12,5.16,5.01,5.04,5.1,-0.06,-1.1765,273945.8,139122.089,1.1293,1.7903,33.5943,1.1619,1260394.7237,1222600.2193,4.7135
000036.SZ,20241220,4.44,4.52,4.4,4.42,4.43,-0.01,-0.2257,180074.3,80280.754,1.2162,1.6956,95.5262,1.2906,655898.8391,654457.8947,12.84
000037.SZ,20241220,8.64,8.66,8.44,8.49,8.61,-0.12,-1.3937,56148.0,47984.337,1.6568,2.8057,0.0,3.6145,511745.444,287721.9874,5.668
000039.SZ,20241220,7.95,7.97,7.87,7.87,7.96,-0.09,-1.1307,188864.02,149344.496,0.8206,1.0632,24.1999,0.9073,4243913.543,1811207.42,50.9116
000042.SZ,20241220,5.21,5.37,5.15,5.3,5.19,0.11,2.1195,122033.0,64163.611,1.8375,4.5859,0.0,0.6754,352360.5037,351989.5371,13.498
