ts_code,name,list_date,delist_date
000001.SZ,平安银行,19910403,
000002.SZ,万科Ａ,19910129,
000004.SZ,*ST国华,19901201,
000006.SZ,深振业Ａ,19920427,
000007.SZ,全新好,19920413,
000008.SZ,神州高铁,19920507,
000009.SZ,中国宝安,19910625,
000010.SZ,美丽生态,19951027,
000011.SZ,深物业A,19920330,
000012.SZ,南玻Ａ,19920228,
000014.SZ,沙河股份,19920602,
000016.SZ,深康佳Ａ,19920327,
000017.SZ,深中华A,19920331,
000019.SZ,深粮控股,19921012,
000020.SZ,深华发Ａ,19920428,
000021.SZ,深科技,19940202,
001872.SZ,招商港口,19930505,
000025.SZ,特力Ａ,19930621,
000026.SZ,飞亚达,19930603,
000027.SZ,深圳能源,19930903,
000028.SZ,国药一致,19930809,
000029.SZ,深深房Ａ,19930915,
000030.SZ,富奥股份,19930929,
000031.SZ,大悦城,19931008,
000032.SZ,深桑达Ａ,19931028,
000034.SZ,神州数码,19940509,
000035.SZ,中国天楹,19940408,
000036.SZ,华联控股,19940617,
000037.SZ,深南电A,19940701,
000039.SZ,中集集团,19940408,
000042.SZ,中洲控股,19940921,
001914.SZ,招商积余,19940928,
000045.SZ,深纺织Ａ,19940815,
000048.SZ,京基智农,19941101,
000049.SZ,德赛电池,19950320,
000050.SZ,深天马Ａ,19950315,
000055.SZ,方大集团,19960415,
000056.SZ,皇庭国际,19960708,
000058.SZ,深赛格,19961226,
000059.SZ,华锦股份,19970130,
000060.SZ,中金岭南,19970123,
000061.SZ,农产品,19970110,
000062.SZ,深圳华强,19970130,
000063.SZ,中兴通讯,19971118,
000065.SZ,北方国际,19980605,
000066.SZ,中国长城,19970626,
000068.SZ,华控赛格,19970611,
000069.SZ,华侨城Ａ,19970910,
000070.SZ,特发信息,20000511,
000078.SZ,海王生物,19981218,
000088.SZ,盐田港,19970728,
000089.SZ,深圳机场,19980420,
000090.SZ,天健集团,19990721,
000096.SZ,广聚能源,20000724,
000099.SZ,中信海直,20000731,
000100.SZ,TCL科技,20040130,
000151.SZ,中成股份,20000906,
000153.SZ,丰原药业,20000920,
000155.SZ,川能动力,20000926,
000156.SZ,华数传媒,20000906,
000157.SZ,中联重科,20001012,
000158.SZ,常山北明,20000724,
000159.SZ,国际实业,20000926,
000301.SZ,东方盛虹,20000529,
000400.SZ,许继电气,19970418,
000401.SZ,金隅冀东,19960614,
000402.SZ,金融街,19960626,
000403.SZ,派林生物,19960628,
000404.SZ,长虹华意,19960619,
000407.SZ,胜利股份,19960703,
000408.SZ,藏格矿业,19960628,
000409.SZ,云鼎科技,19960627,
000410.SZ,沈阳机床,19960718,
000411.SZ,英特集团,19960716,
000415.SZ,渤海租赁,19960716,
000417.SZ,合百集团,19960812,
000419.SZ,通程控股,19960816,
000420.SZ,吉林化纤,19960802,
000421.SZ,南京公用,19960806,
000422.SZ,湖北宜化,19960815,
000423.SZ,东阿阿胶,19960729,
000425.SZ,徐工机械,19960828,
000426.SZ,兴业银锡,19960828,
000428.SZ,华天酒店,19960808,
000429.SZ,粤高速Ａ,19980220,
000430.SZ,*ST张股,19960829,
000488.SZ,ST晨鸣,20001120,
000498.SZ,山东路桥,19970609,
000501.SZ,武商集团,19921120,
000503.SZ,国新健康,19921130,
000504.SZ,*ST生物,19921208,
000505.SZ,京粮控股,19921221,
000506.SZ,招金黄金,19930312,
000507.SZ,珠海港,19930326,
000509.SZ,华塑控股,19930507,
000510.SZ,新金路,19930507,
000513.SZ,丽珠集团,19931028,
000514.SZ,渝开发,19930712,
000516.SZ,国际医学,19930809,
000517.SZ,荣安地产,19930806,
000518.SZ,*ST四环,19930908,
000519.SZ,中兵红箭,19931008,
000520.SZ,凤凰航运,19931025,
000521.SZ,长虹美菱,19931018,
000523.SZ,红棉股份,19931108,
000524.SZ,岭南控股,19931118,
000525.SZ,红太阳,19931028,
000526.SZ,学大教育,19931101,
000528.SZ,柳工,19931118,
000529.SZ,广弘控股,19931118,
