trade_date,ts_code,name,strategy,action,price,quantity,amount,commission,total_amount,stop_loss,take_profit,reason,status,create_time
20260120,600519.SH,贵州茅台,★低位强攻,BUY,1780.5,1000,1780500.0,534.15,1781034.15,1638.0600000000002,,策略选中：★低位强攻,open,2026-01-27 04:51:09
20260120,000858.SZ,五粮液,★低位强攻,BUY,168.5,1000,168500.0,50.55,168550.55,155.02,,策略选中：★低位强攻,open,2026-01-27 04:51:09
20260120,601318.SH,中国平安,☆缩量洗盘,BUY,45.6,1000,45600.0,13.679999999999998,45613.68,41.952000000000005,,策略选中：☆缩量洗盘,open,2026-01-27 04:51:09
20260120,000001.SZ,平安银行,☆缩量洗盘,BUY,12.8,1000,12800.0,3.84,12803.84,11.776000000000002,,策略选中：☆缩量洗盘,open,2026-01-27 04:51:09
20260120,600036.SH,招商银行,▲梯量上行,BUY,32.5,1000,32500.0,9.75,32509.75,29.9,,策略选中：▲梯量上行,open,2026-01-27 04:51:09
20260120,600519.SH,贵州茅台,★低位强攻,BUY,1780.5,1000,1780500.0,534.15,1781034.15,1638.0600000000002,,策略选中：★低位强攻,open,2026-01-28 22:03:22
20260120,000858.SZ,五粮液,★低位强攻,BUY,168.5,1000,168500.0,50.55,168550.55,155.02,,策略选中：★低位强攻,open,2026-01-28 22:03:22
20260120,601318.SH,中国平安,☆缩量洗盘,BUY,45.6,1000,45600.0,13.679999999999998,45613.68,41.952000000000005,,策略选中：☆缩量洗盘,open,2026-01-28 22:03:22
20260120,000001.SZ,平安银行,☆缩量洗盘,BUY,12.8,1000,12800.0,3.84,12803.84,11.776000000000002,,策略选中：☆缩量洗盘,open,2026-01-28 22:03:22
20260120,600036.SH,招商银行,▲梯量上行,BUY,32.5,1000,32500.0,9.75,32509.75,29.9,,策略选中：▲梯量上行,open,2026-01-28 22:03:22
20260128,605337.SH,李子园,▲梯量上行,BUY,13.56,1000,13560.0,4.068,13564.068,12.4752,,策略选中：▲梯量上行,open,2026-01-28 22:03:22
20260128,600170.SH,上海建工,▲梯量上行,BUY,3.18,1000,3180.0,0.954,3180.954,2.9256,,策略选中：▲梯量上行,open,2026-01-28 22:03:22
20260128,600475.SH,华光环能,▲梯量上行,BUY,22.27,1000,22270.0,6.680999999999999,22276.681,20.4884,,策略选中：▲梯量上行,open,2026-01-28 22:03:22
20260128,600980.SH,北矿科技,▲梯量上行,BUY,26.06,1000,26060.0,7.818,26067.818,23.9752,,策略选中：▲梯量上行,open,2026-01-28 22:03:22
20260128,002286.SZ,保龄宝,▲梯量上行,BUY,10.2,1000,10200.0,3.06,10203.06,9.384,,策略选中：▲梯量上行,open,2026-01-28 22:03:22
20260128,600997.SH,开滦股份,★低位强攻,BUY,6.18,1000,6180.0,1.854,6181.854,5.6856,,策略选中：★低位强攻,open,2026-01-28 22:03:22
20260128,601618.SH,中国中冶,★低位强攻,BUY,3.3,1000,3300.0,0.99,3300.99,3.036,,策略选中：★低位强攻,open,2026-01-28 22:03:22
20260128,603072.SH,天和磁材,★低位强攻,BUY,45.99,1000,45990.0,13.797,46003.797,42.3108,,策略选中：★低位强攻,open,2026-01-28 22:03:22
20260128,600508.SH,上海能源,★低位强攻,BUY,12.74,1000,12740.0,3.822,12743.822,11.7208,,策略选中：★低位强攻,open,2026-01-28 22:03:22
20260128,600429.SH,三元股份,★低位强攻,BUY,5.45,1000,5450.0,1.6349999999999998,5451.635,5.014,,策略选中：★低位强攻,open,2026-01-28 22:03:22
20260128,600744.SH,华银电力,☆缩量洗盘,BUY,6.47,1000,6470.0,1.941,6471.941,5.9524,,策略选中：☆缩量洗盘,open,2026-01-28 22:03:22
20260128,603111.SH,康尼机电,☆缩量洗盘,BUY,7.1,1000,7100.0,2.13,7102.13,6.532,,策略选中：☆缩量洗盘,open,2026-01-28 22:03:22
20260128,603006.SH,联明股份,☆缩量洗盘,BUY,13.76,1000,13760.0,4.127999999999999,13764.128,12.6592,,策略选中：☆缩量洗盘,open,2026-01-28 22:03:22
20260128,600839.SH,四川长虹,☆缩量洗盘,BUY,10.14,1000,10140.0,3.042,10143.042,9.3288,,策略选中：☆缩量洗盘,open,2026-01-28 22:03:22
20260128,003017.SZ,大洋生物,☆缩量洗盘,BUY,32.08,1000,32080.0,9.624,32089.624,29.5136,,策略选中：☆缩量洗盘,open,2026-01-28 22:03:22
20260120,600519.SH,贵州茅台,★低位强攻,BUY,1780.5,1000,1780500.0,534.15,1781034.15,1638.0600000000002,,策略选中：★低位强攻,open,2026-01-28 22:57:10
20260120,000858.SZ,五粮液,★低位强攻,BUY,168.5,1000,168500.0,50.55,168550.55,155.02,,策略选中：★低位强攻,open,2026-01-28 22:57:10
20260120,601318.SH,中国平安,☆缩量洗盘,BUY,45.6,1000,45600.0,13.679999999999998,45613.68,41.952000000000005,,策略选中：☆缩量洗盘,open,2026-01-28 22:57:10
20260120,000001.SZ,平安银行,☆缩量洗盘,BUY,12.8,1000,12800.0,3.84,12803.84,11.776000000000002,,策略选中：☆缩量洗盘,open,2026-01-28 22:57:10
20260120,600036.SH,招商银行,▲梯量上行,BUY,32.5,1000,32500.0,9.75,32509.75,29.9,,策略选中：▲梯量上行,open,2026-01-28 22:57:10
20260128,600997.SH,开滦股份,★低位强攻,BUY,6.18,1000,6180.0,1.8539999999999999,6181.854,5.6856,,策略选中：★低位强攻,open,2026-01-28 22:57:10
20260128,000560.SZ,我爱我家,☆缩量洗盘,BUY,3.03,1000,3030.0,0.9089999999999999,3030.909,2.7876,,策略选中：☆缩量洗盘,open,2026-01-28 22:57:10
20260128,600054.SH,黄山旅游,☆缩量洗盘,BUY,11.89,1000,11890.0,3.5669999999999997,11893.567,10.9388,,策略选中：☆缩量洗盘,open,2026-01-28 22:57:10
20260128,600728.SH,佳都科技,☆缩量洗盘,BUY,7.11,1000,7110.0,2.133,7112.133,6.541200000000001,,策略选中：☆缩量洗盘,open,2026-01-28 22:57:10
20260128,000404.SZ,长虹华意,☆缩量洗盘,BUY,7.03,1000,7030.0,2.109,7032.109,6.467600000000001,,策略选中：☆缩量洗盘,open,2026-01-28 22:57:10
20260128,002876.SZ,三利谱,☆缩量洗盘,BUY,26.49,1000,26490.0,7.946999999999999,26497.947,24.3708,,策略选中：☆缩量洗盘,open,2026-01-28 22:57:10
