vol_ratio,turnover_rate,pe_ttm,bias_5,bias_20,ma5_slope,ma20_slope,rsi_14,std_20_ratio,position_20d,position_250d,macd_dif,macd_dea,macd_hist,pct_chg_1d,pct_chg_5d,pct_chg_20d,index_pct_chg,sector_pct_chg,moneyflow_score,tech_score,new_score,ts_code,trade_date,label
1.0,0.0,0.0,-0.5666195,0.1839867,0.15378171,-0.19493215,45.295315,1.5585941,0.54506105,0,-11.17224,-17.783497,13.222514,-2.3749,0.7781106,-3.7527606,0,0,0,0,0,600519.SH,20240102,0
1.0,0.0,0.0,8.191974,-6.1580434,1.8284464,-0.5779934,32.831947,12.661655,0.32495338,0,-0.75063413,-0.14913367,-1.203001,1.6323,9.049209,-11.024157,0,0,0,0,0,300364.SZ,20240102,0
1.0,0.0,0.0,-0.91063184,-0.5989319,0.043236613,-0.097705424,44.80068,2.267163,0.4733294,0,-5.6343064,-7.6332,3.9977875,-2.7273,0.21855211,-1.9298301,0,0,0,0,0,002594.SZ,20240102,1
1.0,0.0,0.0,3.9955854,31.707941,2.1030354,2.5617485,82.00516,19.485167,1.0,0,7.1304193,5.094969,4.0709014,2.8218,10.991382,61.105316,0,0,0,0,0,603392.SH,20240102,1
1.0,0.0,0.0,2.597128,-12.458218,0.1720079,-1.026396,22.259153,10.3325615,0.16746429,0,-1.1386671,-0.66319287,-0.9509484,1.6481,0.84389114,-19.15433,0,0,0,0,0,002555.SZ,20240102,0
1.0,0.0,0.0,-0.31846377,0.76342815,0.2832507,-0.044592015,57.573067,1.5231146,0.644839,0,-10.011365,-16.334452,12.646173,0.5335,1.4371257,-0.8777062,0,0,0,0,0,600519.SH,20240103,0
1.0,0.0,0.0,6.757907,11.046501,3.6098242,0.979471,59.132854,5.656411,1.0,0,1.2969929,1.0028728,0.58824027,2.6667,19.499376,21.167513,0,0,0,0,0,301236.SZ,20240103,0
1.0,0.0,0.0,8.848864,21.179098,3.7367997,0.735496,80.213905,8.879897,1.0,0,0.38429072,0.17249046,0.4236005,3.2498,19.827587,13.701433,0,0,0,0,0,002584.SZ,20240103,0
1.0,0.0,0.0,1.4176649,2.691512,0.27337316,0.1520599,63.888893,1.3036772,1.0,0,0.014520789,0.0059918296,0.017057918,1.6393,1.3623965,3.0470953,0,0,0,0,0,601288.SH,20240103,0
1.0,0.0,0.0,-0.76237977,-0.22313896,0.14611289,-0.08180197,52.146656,2.247856,0.5082768,0,-5.2894125,-7.172873,3.7669213,0.296,0.74054664,-1.6145453,0,0,0,0,0,002594.SZ,20240103,0
1.0,0.0,0.0,-1.8119779,-0.6231452,0.022830736,-0.10112032,57.343155,1.5008161,0.3673694,0,-10.985115,-15.357568,8.7449045,-1.4758,0.11636901,-1.9964768,0,0,0,0,0,600519.SH,20240104,0
1.0,0.0,0.0,2.5335562,-5.5475287,2.574338,-0.91522,38.56982,12.555463,0.29422712,0,-0.6634085,-0.34373716,-0.6393428,2.0553,13.945277,-16.358929,0,0,0,0,0,300364.SZ,20240104,0
1.0,0.0,0.0,-0.7467951,-5.4376307,0.23418282,-0.08141864,33.648796,5.067875,0.121004745,0,0.26472113,0.9793992,-1.4293561,2.2786,1.1909854,-1.6942141,0,0,0,0,0,300502.SZ,20240104,0
1.0,0.0,0.0,-0.9991373,-0.08980399,0.16131262,-0.21099985,52.926228,2.0542724,0.5586825,0,-5.0228415,-6.8155174,3.5853522,-0.0777,0.82006127,-4.060837,0,0,0,0,0,002594.SZ,20240104,1
1.0,0.0,0.0,3.1554017,10.589594,-1.6295921,1.0569048,63.326878,14.078572,0.5506003,0,1.4050696,1.0654236,0.67929196,3.9205,-7.432755,23.325998,0,0,0,0,0,002855.SZ,20240104,0
